time,weight,type
2011-4-13,0.02,진1
2011-5-3,6.3,진1
2011-5-23,34.2,진1
2011-6-12,58.35,진1
2011-7-2,198.4,진1
2011-7-22,383.85,진1
2011-8-11,318.2,진1
2011-8-31,319.65,진1
2011-9-20,390.4,진1
2011-10-10,333.65,진1
2011-4-13,0.07,진2
2011-5-3,13.65,진2
2011-5-23,44.6,진2
2011-6-12,74.65,진2
2011-7-2,188.65,진2
2011-7-22,259.55,진2
2011-8-11,326.75,진2
2011-8-31,285.8,진2
2011-9-20,326.45,진2
2011-10-10,355.95,진2
2011-4-13,0.14,진3
2011-5-3,19.1,진3
2011-5-23,57.25,진3
2011-6-12,78.45,진3
2011-7-2,203.35,진3
2011-7-22,390.9,진3
2011-8-11,331.75,진3
2011-8-31,297.85,진3
2011-9-20,416.75,진3
2011-10-10,373.9,진3
2011-4-13,0.22,진4
2011-5-3,33.2,진4
2011-5-23,76.8,진4
2011-6-12,105.5,진4
2011-7-2,219.05,진4
2011-7-22,385.85,진4
2011-8-11,426.95,진4
2011-8-31,417.85,진4
2011-9-20,509,진4
2011-10-10,391.5,진4
2011-4-13,0.46,진5
2011-5-3,20.15,진5
2011-5-23,70.55,진5
2011-6-12,97.9,진5
2011-7-2,245.45,진5
2011-7-22,313.25,진5
2011-8-11,380.55,진5
2011-8-31,322.4,진5
2011-9-20,353.55,진5
2011-10-10,343.35,진5
